author      entry        time(h)
================================
DTSIo           Asympt       1.50 
DTSIo           BanThm       0.25 
DTSIo           CHF          0.75 
DTSIo           FrobTh       2.50 
DTSIo           HelDe        0.33 
DTSIo           LapAsm       1.92 
DTSIo           Manif        0.42 
DTSIo           NormV        1.50 
DTSIo           RHS          1.42 
DTSIo           RiLem        0.33 
DTSIo           RiMetr       0.42 
DTSIo           Taylor       0.75 
DTSIo           VecCon       0.83 
DTSIo           VecCur       0.33 
DTSIo           VecHol       0.17 
DTSIo           VecPar       0.50 
DTSIo           anal         0.83 
DTSIo           banach       1.00 
DTSIo           main         0.17 
FFjet           AlgFie       0.58 
FFjet           BiDist       0.67 
FFjet           BlaHol       0.42 
FFjet           Carnot       0.83 
FFjet           CauGou       0.42 
FFjet           Comptn       0.33 
FFjet           CpxInt       1.75 
FFjet           Dielec       0.92 
FFjet           EFIDE        0.67 
FFjet           Efield       1.25 
FFjet           ElePAP       0.33 
FFjet           EleRes       0.33 
FFjet           EnerVi       0.58 
FFjet           Entrop       1.42 
FFjet           EqPre        0.75 
FFjet           EqTemp       0.42 
FFjet           EqVol        0.58 
FFjet           Heatco       0.25 
FFjet           Homeul       0.50 
FFjet           Huygen       0.50 
FFjet           IdeaS        0.50 
FFjet           Kirch        2.42 
FFjet           LC           0.58 
FFjet           LapTra       0.75 
FFjet           Lloyd        0.33 
FFjet           LumiMe       0.17 
FFjet           MaAmpe       0.42 
FFjet           MaInte       1.00 
FFjet           MeElec       0.33 
FFjet           MoMaMo       0.25 
FFjet           MonoLi       0.17 
FFjet           Noethe       1.08 
FFjet           PVgraf       0.25 
FFjet           ParaMa       0.25 
FFjet           Pendu3       0.33 
FFjet           ProLap       0.83 
FFjet           Quasta       0.25 
FFjet           QuoSpa       0.17 
FFjet           Resist       0.25 
FFjet           ShoWav       0.17 
FFjet           Snel         0.50 
FFjet           WaEner       0.58 
FFjet           WaInte       0.25 
FFjet           Young        1.42 
FFjet           beatno       0.42 
FFjet           motint       0.42 
JierPeter       AbsInd       0.42 
JierPeter       AlgFie       1.50 
JierPeter       BscAlg       0.42 
JierPeter       CatTns       0.42 
JierPeter       Causal       1.33 
JierPeter       Cgauge       0.17 
JierPeter       CoCon        1.75 
JierPeter       ComSpa       0.42 
JierPeter       CovTop       0.42 
JierPeter       Curv3D       2.00 
JierPeter       CvaVec       0.83 
JierPeter       Deter        0.25 
JierPeter       Domain       0.58 
JierPeter       DualSp       1.92 
JierPeter       EBP          0.17 
JierPeter       EMFT         1.50 
JierPeter       EinSum       1.75 
JierPeter       EsstCr       0.50 
JierPeter       EuRing       0.50 
JierPeter       ExtAlg       1.08 
JierPeter       ExtDer       1.92 
JierPeter       ExtDif       0.25 
JierPeter       FForm        0.75 
JierPeter       FctTre       0.92 
JierPeter       Fibre        0.42 
JierPeter       FldExp       1.67 
JierPeter       Forms        1.50 
JierPeter       FreGrp       0.83 
JierPeter       FrePrd       0.50 
JierPeter       GHcurv       0.42 
JierPeter       GMap         1.00 
JierPeter       GVec         3.17 
JierPeter       Gauge        0.17 
JierPeter       Group        2.25 
JierPeter       Group1       4.33 
JierPeter       Group2       0.67 
JierPeter       Group3       2.00 
JierPeter       GroupP       0.58 
JierPeter       GrpPrd       1.08 
JierPeter       GrpRep       0.25 
JierPeter       HodgeO       0.58 
