entry    time(h)    author
===========================
A       0.17  addis         
ADKrat  0.25  addis         
AMAdd   3.75  addis         
AMLaw   2.42  addis         
AMLaw1  1.17  addis         
AMW     2     零穹            
AMW     0.75  addis         
AU      5.5   addis         
Abc     0.17  addis         
AbsInd  0.42  JierPeter     
AbsInd  0.33  addis         
Abstra  0.33  addis         
AccGau  1.58  addis         
AccTra  2.83  addis         
Adiab   0.92  addis         
Adibat  0.33  addis         
AiryF   3.5   addis         
AiryF   1.67  切糕糕           
AlgFie  1.58  JierPeter     
AlgFie  0.58  FFjet         
AlgFie  0.5   addis         
AmpLaw  1.08  addis         
AmpLaw  0.17  水铭            
AnaInt  0.58  addis         
AnalNt  1.08  addis         
AngMo   0.83  零穹            
AngMom  1.33  addis         
AprPtr  0.17  addis         
ArbLib  1.33  addis         
ArcSpl  0.33  addis         
Arctan  0.5   addis         
AsLgdr  0.75  addis         
Astro   0.83  addis         
Asympt  1.5   DTSIo         
Asympt  0.17  addis         
AtomId  1.83  addis         
AvgHit  0.33  addis         
BAHA    9.17  零穹            
BAHA    0.33  addis         
BBdLaw  1.08  addis         
BCSBEC  0.42  addis         
BEng    0.42  addis         
BFlux   0.42  addis         
BLAS    0.42  junyi         
BLAS    0.33  addis         
BMono   0.75  addis         
BNU12   0.25  addis         
BNU13   1.92  零穹            
BNU13   0.33  addis         
BNU16   0.75  零穹            
BRST    4.25  zhousiyi      
BRST    0.33  addis         
BanDmt  1     addis         
BanThm  0.5   addis         
BanThm  0.25  DTSIo         
BarCom  0.33  addis         
BarCom  0.17  切糕糕           
BasPar  0.17  addis         
Basics  0.25  addis         
BdLgth  0.25  虫大            
BddRsv  0.42  DTSIo         
BddSpe  1.17  DTSIo         
BddSpe  0.42  addis         
Bernul  0.42  addis         
Bessel  2     addis         
BiDist  0.67  FFjet         
BiDist  0.58  零穹            
BiNor   0.33  addis         
BiNorM  0.33  addis         
BiNorR  0.17  addis         
Binet   0.42  addis         
BioSav  2.5   零穹            
BioSav  2.17  addis         
Bisec   0.25  addis         
BlaHol  0.42  FFjet         
BlaHol  0.17  addis         
Blendr  1     addis         
BlkMat  0.17  addis         
Bloch   1     addis         
BndSho  0.75  addis         
BohMag  0.17  addis         
BohrEc  2.42  addis         
BohrMd  0.92  addis         
Boost   2.17  addis         
Boost   0.5   小时            
BornSc  0.33  addis         
Brachi  3.67  addis         
BscAlg  0.5   JierPeter     
BscAlg  0.17  addis         
Bubble  0.17  addis         
Buoy    0.58  addis         
BvecA   1.17  addis         
CAS12   0.67  零穹            
CAS12   0.5   addis         
CAS13   0.58  零穹            
CAS13   0.17  addis         
CAS14   2.83  零穹            
CAS17   3.83  Entanglement  
CAS17   0.17  addis         
CAS18   1.5   Entanglement  
CAS20   0.25  Entanglement  
CEfDiv  2.17  addis         
CExp    0.75  addis         
CGS     1.25  addis         
CHF     0.75  DTSIo         
CHF     0.33  addis         
CLT     0.25  addis         
CM      1     addis         
CM0     3.17  addis         
CM0     0.33  幻想乡的观测者       
CM1     4.83  addis         
CMAD    0.33  addis         
CMVD    0.17  addis         
